feature_21,feature_9,feature_18,feature_1,feature_11,feature_14,feature_4,feature_5,label
1,0,3,1,2,1.689078127392738,2,0,7
1,0,3,1,2,1.5241480161646321,2,0,2
1,0,3,1,2,2.823003398198339,2,0,2
1,0,3,1,2,0.7644275138010019,2,0,2
1,0,3,1,2,2.689536268119581,2,0,2
1,0,3,1,1,2.762303959511341,2,0,2
1,0,3,1,0,2.1653604671424946,2,0,2
2,0,3,1,2,0.5139463088886661,2,2,2
2,0,3,1,2,0.7959715556005944,2,2,2
2,0,3,1,2,0.865381834682627,2,2,2
2,0,3,1,2,0.4995856329891669,2,2,2
2,0,3,1,2,0.9726867293081674,2,2,2
2,0,3,1,2,2.2254453614820857,2,2,2
2,0,3,1,1,2.1108476414370783,2,2,2
2,0,3,1,0,2.3857731783304605,2,2,2
2,1,2,2,0,0.023177752342661062,0,2,2
2,1,2,2,0,1.0288073808050358,0,2,2
2,0,3,1,1,2.8959361010279743,2,2,2
2,0,1,1,2,2.611007097017358,2,2,2
2,0,1,1,2,2.4492301468723,2,2,2
2,0,1,1,2,1.9092043063142174,2,2,2
2,0,1,1,2,2.188349227332164,2,2,2
2,0,1,1,1,2.4199359620340077,2,2,2
2,0,1,1,1,0.7700524468892647,2,2,2
2,0,1,1,1,0.28763326815254375,2,2,2
2,1,2,2,0,0.601760835126129,0,2,2
2,0,2,1,0,2.8522212246232135,2,2,5
2,1,2,2,1,2.15523764514782,0,2,5
2,1,2,2,0,2.0003689144655974,0,2,5
2,1,2,2,0,1.2374915100410249,0,2,5
2,1,2,2,1,1.0943060939399374,0,2,5
2,1,2,2,0,0.5152648012362988,2,2,5
2,1,2,2,1,1.8139512625144254,2,2,5
2,1,2,2,1,0.25373729536238077,2,2,5
2,1,2,2,0,1.4517996981510808,2,2,5
2,1,2,2,0,1.3425227691007888,2,2,5
2,1,2,2,1,1.4698934278548075,2,2,5
2,1,2,2,0,1.2658641376398743,2,2,5
2,1,2,2,1,1.75292686611688,2,2,5
1,0,3,3,1,2.7635710802490063,2,0,8
1,0,3,1,2,1.5055916494179995,2,0,8
1,0,3,1,0,2.326881283434224,2,0,8
1,0,3,1,0,2.830966908535199,2,0,8
1,0,3,1,0,2.8987923130090407,2,0,8
1,0,1,1,0,0.49684486299267405,2,0,8
1,0,1,1,0,2.6213512846277647,2,0,8
1,0,1,1,1,0.025741312356120205,2,0,8
1,0,1,1,1,1.0502733807329792,2,0,8
1,0,1,1,0,2.566788482462917,2,0,8
2,0,1,1,0,0.04807307297660268,2,0,8
2,0,1,1,0,1.2702742719810063,2,0,8
2,0,1,1,0,1.916325221052463,2,0,8
2,0,1,1,0,1.0521695851685688,2,0,8
2,0,2,1,1,2.262010919452606,2,0,8
2,0,2,1,1,2.4016719829562985,2,2,8
2,0,3,3,1,0.4091268758033867,2,2,8
2,0,3,3,2,2.3339930248364027,2,2,8
2,0,3,1,0,0.6453616453479475,2,2,8
2,0,3,1,0,1.846746122034504,2,2,8
2,0,3,1,0,0.6130553127377755,2,2,8
2,0,3,1,0,1.5182498684078527,2,2,8
2,0,1,1,0,2.496633519658416,2,2,8
2,0,1,1,0,2.6354103587526803,2,2,8
2,0,1,1,1,0.1155176763345317,2,2,8
2,0,1,1,0,2.849782915321461,2,2,8
2,0,1,1,0,2.492962584693738,2,2,8
2,0,1,1,0,2.9215513797498422,2,2,8
2,0,1,1,0,0.6268477994739189,2,2,8
2,0,1,1,0,0.10752724127256486,2,2,8
2,0,1,1,0,1.5007244687967287,2,2,8
2,0,2,1,0,0.920866172138788,2,2,8
2,0,2,1,0,0.005503236126898514,2,2,8
2,0,2,1,1,0.07300502397150277,2,2,8
2,0,2,1,1,0.9883815840799068,2,2,8
2,0,2,1,1,2.198358385467893,2,2,8
2,0,2,1,1,1.8737101740727578,0,2,8
2,1,2,1,1,1.821360538496636,0,2,8
2,1,2,1,0,2.7303571612515523,0,2,8
2,1,2,1,0,2.807061444054061,0,2,8
2,1,2,1,0,2.577706353901306,0,2,8
2,1,2,1,0,2.615964645966727,0,2,8
2,1,2,1,0,2.2889390871978463,0,2,8
2,1,2,1,0,1.9213570717834594,0,2,8
2,1,2,2,1,2.0021112912992645,0,2,8
2,1,2,2,1,0.4820372341636835,0,2,8
2,1,2,2,1,2.7980491166261614,0,2,8
2,1,2,2,1,1.5921054286817782,0,2,8
2,1,2,2,0,2.2326515663503477,0,2,8
2,1,2,2,0,0.5065920199312554,0,2,8
2,1,2,2,1,0.20907473861642933,0,2,8
2,1,2,2,1,2.5005524197738778,0,2,8
2,1,2,2,0,0.28899684897263844,0,2,8
2,1,2,2,0,2.830559732857438,0,2,8
2,1,2,2,0,1.6161010587555142,0,2,8
2,1,2,2,0,0.9378813873943236,0,2,8
2,1,2,2,0,1.7626656813989927,0,2,8
2,1,2,2,0,0.05673933182544366,0,2,8
2,1,2,2,1,0.23977070947125545,0,2,8
2,1,2,2,1,0.6115006135270611,0,2,8
2,1,2,2,1,0.500821085022256,0,2,8
2,1,2,2,1,2.9992008292245527,0,2,8
2,1,2,2,1,1.6884838786036733,0,2,8
2,1,2,2,1,2.681260000854784,0,2,8
2,1,2,2,0,1.0289260820523431,0,2,8
2,0,3,3,1,1.7175879586219047,2,2,8
2,0,3,1,1,0.34332025147322753,2,2,8
2,0,1,1,0,2.1996906282239577,2,2,8
2,0,1,1,0,1.8734248179966997,2,0,8
2,0,1,1,0,1.6037765262482986,2,0,8
2,0,1,1,0,1.9971267968508246,2,0,8
2,0,1,1,2,0.9842007475653578,2,0,8
2,0,1,1,1,0.9571122938497444,2,0,8
2,0,1,1,0,2.414296090746352,2,0,8
2,0,1,1,0,0.26003194921300155,2,0,8
2,0,1,1,0,2.8307178621800446,2,0,8
